Sample Name, Equipo1S2.sca
Time, November 05 14:42:31 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 1.7814, 1.65
191.0, 1.7503, 1.78
192.0, 1.7904, 1.62
193.0, 1.6044, 2.49
194.0, 1.5196, 3.02
195.0, 1.4626, 3.45
196.0, 1.4623, 3.45
197.0, 1.5065, 3.12
198.0, 1.5425, 2.87
199.0, 1.5534, 2.80
200.0, 1.5761, 2.65
201.0, 1.6105, 2.45
202.0, 1.5941, 2.55
203.0, 1.5382, 2.90
204.0, 1.3862, 4.11
205.0, 1.3954, 4.02
206.0, 1.3752, 4.21
207.0, 1.3890, 4.08
208.0, 1.4207, 3.80
209.0, 1.3907, 4.07
210.0, 1.3879, 4.09
211.0, 1.3989, 3.99
212.0, 1.4335, 3.69
213.0, 1.4623, 3.45
214.0, 1.4360, 3.66
215.0, 1.4297, 3.72
216.0, 1.4415, 3.62
217.0, 1.4105, 3.89
218.0, 1.4400, 3.63
219.0, 1.4954, 3.20
220.0, 1.4229, 3.78
221.0, 1.4522, 3.53
222.0, 1.4782, 3.32
223.0, 1.4755, 3.35
224.0, 1.4619, 3.45
225.0, 1.4222, 3.78
226.0, 1.4610, 3.46
227.0, 1.4489, 3.56
228.0, 1.4769, 3.33
229.0, 1.5232, 3.00
230.0, 1.5067, 3.11
231.0, 1.5424, 2.87
232.0, 1.5130, 3.07
233.0, 1.5378, 2.90
234.0, 1.5520, 2.81
235.0, 1.5694, 2.70
236.0, 1.5640, 2.73
237.0, 1.6010, 2.51
238.0, 1.6384, 2.30
239.0, 1.7118, 1.94
240.0, 1.7798, 1.66
241.0, 1.8652, 1.36
242.0, 1.9470, 1.13
243.0, 2.0512, 0.89
244.0, 2.1761, 0.67
245.0, 2.2820, 0.52
246.0, 2.3962, 0.40
247.0, 2.5074, 0.31
248.0, 2.6123, 0.24
249.0, 2.7104, 0.19
250.0, 2.8007, 0.16
251.0, 1.7848, 1.64
252.0, 1.5023, 3.15
253.0, 1.4230, 3.78
254.0, 1.3455, 4.51
255.0, 1.2443, 5.70
256.0, 1.2082, 6.19
257.0, 1.1591, 6.93
258.0, 1.1236, 7.52
259.0, 1.0921, 8.09
260.0, 1.0652, 8.61
261.0, 1.0482, 8.95
262.0, 1.0206, 9.54
263.0, 1.0037, 9.92
264.0, 0.9768, 10.55
265.0, 0.9565, 11.05
266.0, 0.9438, 11.38
267.0, 0.9350, 11.62
268.0, 0.9394, 11.50
269.0, 0.8936, 12.78
270.0, 0.8677, 13.56
271.0, 0.8704, 13.48
272.0, 0.8585, 13.85
273.0, 0.8477, 14.20
274.0, 0.8334, 14.67
275.0, 0.8225, 15.05
276.0, 0.8107, 15.46
277.0, 0.7997, 15.86
278.0, 0.7897, 16.23
279.0, 0.7802, 16.59
280.0, 0.7694, 17.01
281.0, 0.7597, 17.39
282.0, 0.7506, 17.76
283.0, 0.7413, 18.14
284.0, 0.7322, 18.53
285.0, 0.7241, 18.88
286.0, 0.7154, 19.26
287.0, 0.7071, 19.63
288.0, 0.6987, 20.01
289.0, 0.6905, 20.39
290.0, 0.6825, 20.77
291.0, 0.6749, 21.14
292.0, 0.6678, 21.49
293.0, 0.6599, 21.89
294.0, 0.6529, 22.24
295.0, 0.6452, 22.63
296.0, 0.6383, 23.00
297.0, 0.6302, 23.43
298.0, 0.6232, 23.81
299.0, 0.6162, 24.20
300.0, 0.6090, 24.61
301.0, 0.6020, 25.00
302.0, 0.5951, 25.40
303.0, 0.5878, 25.84
304.0, 0.5810, 26.24
305.0, 0.5747, 26.63
306.0, 0.5674, 27.08
307.0, 0.5606, 27.51
308.0, 0.5538, 27.94
309.0, 0.5468, 28.39
310.0, 0.5394, 28.88
311.0, 0.5328, 29.32
312.0, 0.5252, 29.84
313.0, 0.5185, 30.30
314.0, 0.5114, 30.80
315.0, 0.5044, 31.30
316.0, 0.4977, 31.79
317.0, 0.4907, 32.31
318.0, 0.4841, 32.80
319.0, 0.4770, 33.34
320.0, 0.4697, 33.91
321.0, 0.4625, 34.48
322.0, 0.4555, 35.04
323.0, 0.4484, 35.61
324.0, 0.4413, 36.20
325.0, 0.4342, 36.80
326.0, 0.4268, 37.43
327.0, 0.4198, 38.03
328.0, 0.4130, 38.63
329.0, 0.4061, 39.26
330.0, 0.3993, 39.87
331.0, 0.3928, 40.47
332.0, 0.3861, 41.10
333.0, 0.3802, 41.67
334.0, 0.3783, 41.85
335.0, 0.3638, 43.27
336.0, 0.3558, 44.08
337.0, 0.3519, 44.47
338.0, 0.3464, 45.04
339.0, 0.3431, 45.39
340.0, 0.3320, 46.56
341.0, 0.3269, 47.11
342.0, 0.3210, 47.75
343.0, 0.3141, 48.52
344.0, 0.3075, 49.26
345.0, 0.3010, 50.00
346.0, 0.2951, 50.69
347.0, 0.2883, 51.48
348.0, 0.2815, 52.30
349.0, 0.2759, 52.97
350.0, 0.2702, 53.68
351.0, 0.2641, 54.44
352.0, 0.2580, 55.21
353.0, 0.2523, 55.93
354.0, 0.2462, 56.72
355.0, 0.2405, 57.48
356.0, 0.2350, 58.21
357.0, 0.2293, 58.98
358.0, 0.2234, 59.79
359.0, 0.2180, 60.54
360.0, 0.2125, 61.31
361.0, 0.2076, 62.00
362.0, 0.2020, 62.80
363.0, 0.1969, 63.55
364.0, 0.1916, 64.33
365.0, 0.1867, 65.06
366.0, 0.1816, 65.82
367.0, 0.1767, 66.57
368.0, 0.1722, 67.27
369.0, 0.1676, 67.99
370.0, 0.1653, 68.35
371.0, 0.1622, 68.83
372.0, 0.1572, 69.64
373.0, 0.1528, 70.34
374.0, 0.1486, 71.02
375.0, 0.1445, 71.70
376.0, 0.1428, 71.97
377.0, 0.1359, 73.12
378.0, 0.1322, 73.75
379.0, 0.1279, 74.48
380.0, 0.1246, 75.06
381.0, 0.1208, 75.72
382.0, 0.1177, 76.25
383.0, 0.1145, 76.83
384.0, 0.1118, 77.31
385.0, 0.1085, 77.90
386.0, 0.1057, 78.40
387.0, 0.1031, 78.87
388.0, 0.1004, 79.37
389.0, 0.0983, 79.75
390.0, 0.0961, 80.15
391.0, 0.0939, 80.56
392.0, 0.0918, 80.94
393.0, 0.0901, 81.26
394.0, 0.0881, 81.63
395.0, 0.0865, 81.94
396.0, 0.0852, 82.18
397.0, 0.0835, 82.51
398.0, 0.0824, 82.72
399.0, 0.0811, 82.97
400.0, 0.0799, 83.20
401.0, 0.0788, 83.41
402.0, 0.0777, 83.61
403.0, 0.0771, 83.74
404.0, 0.0758, 83.98
405.0, 0.0750, 84.15
406.0, 0.0740, 84.33
407.0, 0.0735, 84.43
408.0, 0.0726, 84.60
409.0, 0.0724, 84.64
410.0, 0.0716, 84.81
411.0, 0.0710, 84.91
412.0, 0.0707, 84.97
413.0, 0.0703, 85.06
414.0, 0.0702, 85.08
415.0, 0.0697, 85.18
416.0, 0.0695, 85.21
417.0, 0.0690, 85.31
418.0, 0.0687, 85.37
419.0, 0.0686, 85.38
420.0, 0.0686, 85.38
421.0, 0.0686, 85.38
422.0, 0.0686, 85.39
423.0, 0.0686, 85.39
424.0, 0.0685, 85.40
425.0, 0.0687, 85.36
426.0, 0.0688, 85.34
427.0, 0.0689, 85.33
428.0, 0.0690, 85.31
429.0, 0.0691, 85.29
430.0, 0.0695, 85.21
431.0, 0.0696, 85.20
432.0, 0.0697, 85.17
