Sample Name, Sample-6
Time, November 05 14:57:34 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 4.1263, 0.01
191.0, 4.2832, 0.01
192.0, 4.3753, 0.00
193.0, 4.2664, 0.01
194.0, 4.2535, 0.01
195.0, 4.2294, 0.01
196.0, 4.3196, 0.00
197.0, 4.3833, 0.00
198.0, 4.4213, 0.00
199.0, 4.4546, 0.00
200.0, 4.4826, 0.00
201.0, 4.5089, 0.00
202.0, 4.5323, 0.00
203.0, 4.5435, 0.00
204.0, 4.3200, 0.00
205.0, 4.3412, 0.00
206.0, 4.3620, 0.00
207.0, 4.3800, 0.00
208.0, 4.3970, 0.00
209.0, 4.4127, 0.00
210.0, 4.4279, 0.00
211.0, 4.4414, 0.00
212.0, 4.4545, 0.00
213.0, 4.4663, 0.00
214.0, 4.4776, 0.00
215.0, 4.4883, 0.00
216.0, 4.4985, 0.00
217.0, 4.5078, 0.00
218.0, 4.5169, 0.00
219.0, 4.5252, 0.00
220.0, 4.5326, 0.00
221.0, 4.5395, 0.00
222.0, 4.5465, 0.00
223.0, 4.5536, 0.00
224.0, 4.5601, 0.00
225.0, 4.5664, 0.00
226.0, 4.5730, 0.00
227.0, 4.5798, 0.00
228.0, 4.5868, 0.00
229.0, 4.5931, 0.00
230.0, 4.5998, 0.00
231.0, 4.6057, 0.00
232.0, 4.6108, 0.00
233.0, 4.6157, 0.00
234.0, 4.6188, 0.00
235.0, 4.6213, 0.00
236.0, 4.6222, 0.00
237.0, 4.6226, 0.00
238.0, 4.6218, 0.00
239.0, 4.6207, 0.00
240.0, 4.6187, 0.00
241.0, 4.6163, 0.00
242.0, 4.6134, 0.00
243.0, 4.6101, 0.00
244.0, 4.6066, 0.00
245.0, 4.4265, 0.00
246.0, 3.2043, 0.06
247.0, 2.8782, 0.13
248.0, 2.6388, 0.23
249.0, 2.4607, 0.35
250.0, 2.3057, 0.49
251.0, 2.1755, 0.67
252.0, 2.0569, 0.88
253.0, 1.9540, 1.11
254.0, 1.8653, 1.36
255.0, 1.7824, 1.65
256.0, 1.7089, 1.95
257.0, 1.6382, 2.30
258.0, 1.5753, 2.66
259.0, 1.5162, 3.05
260.0, 1.4603, 3.46
261.0, 1.4089, 3.90
262.0, 1.3592, 4.37
263.0, 1.3130, 4.86
264.0, 1.2690, 5.38
265.0, 1.2270, 5.93
266.0, 1.1884, 6.48
267.0, 1.1559, 6.98
268.0, 1.1380, 7.28
269.0, 1.0820, 8.28
270.0, 1.0492, 8.93
271.0, 1.0186, 9.58
272.0, 0.9883, 10.27
273.0, 0.9591, 10.99
274.0, 0.9311, 11.72
275.0, 0.9030, 12.50
276.0, 0.8763, 13.30
277.0, 0.8506, 14.11
278.0, 0.8263, 14.92
279.0, 0.8030, 15.74
280.0, 0.7798, 16.61
281.0, 0.7576, 17.48
282.0, 0.7363, 18.35
283.0, 0.7154, 19.26
284.0, 0.6944, 20.21
285.0, 0.6742, 21.17
286.0, 0.6545, 22.16
287.0, 0.6353, 23.16
288.0, 0.6167, 24.17
289.0, 0.5986, 25.20
290.0, 0.5809, 26.25
