Sample Name, Eq3S1.sca
Time, October 29 15:21:45 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 1.9264, 1.18
191.0, 1.7978, 1.59
192.0, 1.7341, 1.84
193.0, 1.7352, 1.84
194.0, 1.7199, 1.91
195.0, 1.6984, 2.00
196.0, 1.5027, 3.14
197.0, 1.5227, 3.00
198.0, 1.5552, 2.79
199.0, 1.5644, 2.73
200.0, 1.5856, 2.60
201.0, 1.6172, 2.41
202.0, 1.5898, 2.57
203.0, 1.3001, 5.01
204.0, 1.3936, 4.04
205.0, 1.4031, 3.95
206.0, 1.3822, 4.15
207.0, 1.3959, 4.02
208.0, 1.4271, 3.74
209.0, 1.3964, 4.01
210.0, 1.3938, 4.04
211.0, 1.4048, 3.94
212.0, 1.4397, 3.63
213.0, 1.4686, 3.40
214.0, 1.4424, 3.61
215.0, 1.4359, 3.67
216.0, 1.4476, 3.57
217.0, 1.4167, 3.83
218.0, 1.4456, 3.58
219.0, 1.5002, 3.16
220.0, 1.4276, 3.74
221.0, 1.4567, 3.49
222.0, 1.4830, 3.29
223.0, 1.4801, 3.31
224.0, 1.4666, 3.41
225.0, 1.4269, 3.74
226.0, 1.4660, 3.42
227.0, 1.4538, 3.52
228.0, 1.4820, 3.30
229.0, 1.5282, 2.96
230.0, 1.5113, 3.08
231.0, 1.5469, 2.84
232.0, 1.5172, 3.04
233.0, 1.5421, 2.87
234.0, 1.5563, 2.78
235.0, 1.5737, 2.67
236.0, 1.5686, 2.70
237.0, 1.6055, 2.48
238.0, 1.6425, 2.28
239.0, 1.7163, 1.92
240.0, 1.7841, 1.64
241.0, 1.8696, 1.35
242.0, 1.9511, 1.12
243.0, 2.0550, 0.88
244.0, 2.1799, 0.66
245.0, 2.2862, 0.52
246.0, 2.4003, 0.40
247.0, 2.5112, 0.31
248.0, 1.3667, 4.30
249.0, 0.7208, 19.02
250.0, 0.5149, 30.56
251.0, 0.4084, 39.05
252.0, 0.3349, 46.25
253.0, 0.2843, 51.96
254.0, 0.2521, 55.96
255.0, 0.2257, 59.48
256.0, 0.2055, 62.30
257.0, 0.1892, 64.69
258.0, 0.1748, 66.87
259.0, 0.1635, 68.63
260.0, 0.1561, 69.80
261.0, 0.1482, 71.08
262.0, 0.1404, 72.39
263.0, 0.1349, 73.29
264.0, 0.1290, 74.31
265.0, 0.1233, 75.28
266.0, 0.1211, 75.67
267.0, 0.1169, 76.39
268.0, 0.1156, 76.63
269.0, 0.1251, 74.97
270.0, 0.0891, 81.44
271.0, 0.1031, 78.86
272.0, 0.1008, 79.29
273.0, 0.0981, 79.79
274.0, 0.0950, 80.36
275.0, 0.0923, 80.86
276.0, 0.0896, 81.35
277.0, 0.0875, 81.74
278.0, 0.0853, 82.17
279.0, 0.0836, 82.49
280.0, 0.0815, 82.88
281.0, 0.0799, 83.19
282.0, 0.0784, 83.48
283.0, 0.0764, 83.86
284.0, 0.0748, 84.17
285.0, 0.0732, 84.48
286.0, 0.0714, 84.83
287.0, 0.0701, 85.09
288.0, 0.0687, 85.38
289.0, 0.0671, 85.69
290.0, 0.0662, 85.87
291.0, 0.0647, 86.16
292.0, 0.0634, 86.41
293.0, 0.0623, 86.63
294.0, 0.0612, 86.85
295.0, 0.0599, 87.11
296.0, 0.0589, 87.33
297.0, 0.0578, 87.54
298.0, 0.0567, 87.76
299.0, 0.0562, 87.87
300.0, 0.0555, 88.01
301.0, 0.0546, 88.19
302.0, 0.0538, 88.34
303.0, 0.0532, 88.47
304.0, 0.0524, 88.63
305.0, 0.0518, 88.76
306.0, 0.0511, 88.90
307.0, 0.0503, 89.06
308.0, 0.0494, 89.25
309.0, 0.0489, 89.36
310.0, 0.0482, 89.51
311.0, 0.0478, 89.58
312.0, 0.0471, 89.73
313.0, 0.0465, 89.86
314.0, 0.0459, 89.98
315.0, 0.0450, 90.15
316.0, 0.0450, 90.17
317.0, 0.0445, 90.26
318.0, 0.0439, 90.38
319.0, 0.0434, 90.48
320.0, 0.0431, 90.56
321.0, 0.0427, 90.65
322.0, 0.0420, 90.78
323.0, 0.0416, 90.86
324.0, 0.0414, 90.91
325.0, 0.0410, 90.98
326.0, 0.0406, 91.08
327.0, 0.0403, 91.15
328.0, 0.0401, 91.18
329.0, 0.0398, 91.25
330.0, 0.0394, 91.33
331.0, 0.0392, 91.37
332.0, 0.0393, 91.36
333.0, 0.0389, 91.44
334.0, 0.0391, 91.38
335.0, 0.0399, 91.21
336.0, 0.0355, 92.14
337.0, 0.0381, 91.59
338.0, 0.0382, 91.58
339.0, 0.0384, 91.54
340.0, 0.0461, 89.92
341.0, 0.0479, 89.55
342.0, 0.0462, 89.90
343.0, 0.0446, 90.25
344.0, 0.0436, 90.45
345.0, 0.0429, 90.60
346.0, 0.0419, 90.79
347.0, 0.0414, 90.91
348.0, 0.0401, 91.18
349.0, 0.0399, 91.22
350.0, 0.0397, 91.26
351.0, 0.0386, 91.49
352.0, 0.0376, 91.71
353.0, 0.0374, 91.75
354.0, 0.0369, 91.85
355.0, 0.0363, 91.98
356.0, 0.0361, 92.02
357.0, 0.0362, 92.01
358.0, 0.0355, 92.16
359.0, 0.0352, 92.22
360.0, 0.0348, 92.29
361.0, 0.0350, 92.25
362.0, 0.0349, 92.29
363.0, 0.0348, 92.29
364.0, 0.0344, 92.39
365.0, 0.0346, 92.33
366.0, 0.0348, 92.29
367.0, 0.0355, 92.15
368.0, 0.0358, 92.09
369.0, 0.0359, 92.07
370.0, 0.0363, 91.97
371.0, 0.0349, 92.27
372.0, 0.0341, 92.46
373.0, 0.0344, 92.38
374.0, 0.0334, 92.59
375.0, 0.0328, 92.73
376.0, 0.0325, 92.79
377.0, 0.0324, 92.81
378.0, 0.0314, 93.04
379.0, 0.0312, 93.08
380.0, 0.0304, 93.25
381.0, 0.0299, 93.35
382.0, 0.0298, 93.38
383.0, 0.0292, 93.51
384.0, 0.0291, 93.52
385.0, 0.0282, 93.72
386.0, 0.0277, 93.82
387.0, 0.0275, 93.87
388.0, 0.0270, 93.97
389.0, 0.0268, 94.01
390.0, 0.0263, 94.12
391.0, 0.0261, 94.17
392.0, 0.0260, 94.19
393.0, 0.0258, 94.24
394.0, 0.0255, 94.30
395.0, 0.0251, 94.39
396.0, 0.0250, 94.40
397.0, 0.0244, 94.53
398.0, 0.0241, 94.60
399.0, 0.0238, 94.67
400.0, 0.0237, 94.69
401.0, 0.0238, 94.66
402.0, 0.0235, 94.73
403.0, 0.0234, 94.75
404.0, 0.0230, 94.84
405.0, 0.0226, 94.93
406.0, 0.0225, 94.96
407.0, 0.0225, 94.94
408.0, 0.0223, 95.00
409.0, 0.0223, 94.99
410.0, 0.0219, 95.08
411.0, 0.0218, 95.10
412.0, 0.0217, 95.13
413.0, 0.0216, 95.16
414.0, 0.0216, 95.14
415.0, 0.0212, 95.24
416.0, 0.0210, 95.29
417.0, 0.0207, 95.35
418.0, 0.0205, 95.39
419.0, 0.0202, 95.45
420.0, 0.0202, 95.45
421.0, 0.0202, 95.47
422.0, 0.0200, 95.49
423.0, 0.0200, 95.50
424.0, 0.0200, 95.50
425.0, 0.0200, 95.51
426.0, 0.0199, 95.52
427.0, 0.0198, 95.54
428.0, 0.0197, 95.56
429.0, 0.0195, 95.60
430.0, 0.0194, 95.63
431.0, 0.0193, 95.66
432.0, 0.0195, 95.61
433.0, 0.0193, 95.65
434.0, 0.0194, 95.64
435.0, 0.0193, 95.66
436.0, 0.0191, 95.70
437.0, 0.0189, 95.74
438.0, 0.0189, 95.74
439.0, 0.0190, 95.72
440.0, 0.0191, 95.71
441.0, 0.0189, 95.74
442.0, 0.0191, 95.70
443.0, 0.0193, 95.65
444.0, 0.0189, 95.75
445.0, 0.0191, 95.70
446.0, 0.0193, 95.66
447.0, 0.0193, 95.66
448.0, 0.0193, 95.66
449.0, 0.0194, 95.63
450.0, 0.0191, 95.70
451.0, 0.0149, 96.63
452.0, 0.0148, 96.64
453.0, 0.0146, 96.69
454.0, 0.0140, 96.84
455.0, 0.0148, 96.66
456.0, 0.0145, 96.71
457.0, 0.0140, 96.82
458.0, 0.0139, 96.84
459.0, 0.0139, 96.85
460.0, 0.0135, 96.94
461.0, 0.0135, 96.93
462.0, 0.0138, 96.87
463.0, 0.0131, 97.04
464.0, 0.0132, 97.00
465.0, 0.0130, 97.05
466.0, 0.0131, 97.04
467.0, 0.0129, 97.08
468.0, 0.0131, 97.02
469.0, 0.0128, 97.10
470.0, 0.0125, 97.17
471.0, 0.0125, 97.15
472.0, 0.0123, 97.20
473.0, 0.0125, 97.15
474.0, 0.0120, 97.27
475.0, 0.0119, 97.29
476.0, 0.0122, 97.23
477.0, 0.0121, 97.26
478.0, 0.0118, 97.32
479.0, 0.0120, 97.28
480.0, 0.0121, 97.26
481.0, 0.0118, 97.33
482.0, 0.0118, 97.31
483.0, 0.0113, 97.43
484.0, 0.0114, 97.41
485.0, 0.0114, 97.41
486.0, 0.0112, 97.46
487.0, 0.0112, 97.44
488.0, 0.0112, 97.46
489.0, 0.0111, 97.47
490.0, 0.0108, 97.53
491.0, 0.0109, 97.52
492.0, 0.0105, 97.60
493.0, 0.0104, 97.63
494.0, 0.0103, 97.67
495.0, 0.0106, 97.60
496.0, 0.0106, 97.58
497.0, 0.0108, 97.54
498.0, 0.0109, 97.53
499.0, 0.0104, 97.64
500.0, 0.0105, 97.62
501.0, 0.0103, 97.65
502.0, 0.0103, 97.65
503.0, 0.0102, 97.67
504.0, 0.0102, 97.67
505.0, 0.0100, 97.72
506.0, 0.0101, 97.70
507.0, 0.0102, 97.68
508.0, 0.0099, 97.74
509.0, 0.0098, 97.77
510.0, 0.0098, 97.77
511.0, 0.0098, 97.76
512.0, 0.0097, 97.79
513.0, 0.0097, 97.79
514.0, 0.0096, 97.82
515.0, 0.0093, 97.88
516.0, 0.0095, 97.85
517.0, 0.0094, 97.85
518.0, 0.0094, 97.86
519.0, 0.0091, 97.93
520.0, 0.0094, 97.87
521.0, 0.0094, 97.86
522.0, 0.0090, 97.94
523.0, 0.0090, 97.94
524.0, 0.0091, 97.93
525.0, 0.0089, 97.96
526.0, 0.0090, 97.94
527.0, 0.0091, 97.92
528.0, 0.0093, 97.87
529.0, 0.0089, 97.97
530.0, 0.0089, 97.98
531.0, 0.0089, 97.98
532.0, 0.0090, 97.96
533.0, 0.0086, 98.05
534.0, 0.0084, 98.09
535.0, 0.0085, 98.05
536.0, 0.0084, 98.08
537.0, 0.0088, 97.99
538.0, 0.0085, 98.07
539.0, 0.0086, 98.05
540.0, 0.0086, 98.04
541.0, 0.0084, 98.09
542.0, 0.0086, 98.03
543.0, 0.0088, 98.00
544.0, 0.0085, 98.06
545.0, 0.0087, 98.02
546.0, 0.0086, 98.03
547.0, 0.0087, 98.03
548.0, 0.0087, 98.02
549.0, 0.0084, 98.09
